participantId,trialNumber,condition,values,marked,reportedPercent,truePercent,log2Error
001,17,Bar,"[63,4,66,0,60,37,27,97,55,10]","[8,6]",58,49,3.189824558880017
001,18,Bar,"[84,64,96,9,50,39,22,4,0,65]","[8,9]",0,0,0
001,19,ComparativeBar,"[65,90,62,34,63,64,31,48,52,97]","[9,8]",50,54,2.0443941193584534
001,20,ComparativeBar,"[58,8,100,45,31,76,73,1,96,1]","[1,3]",20,18,1.0874628412503393
001,21,StackedBar,"[61,79,41,34,57,94,55,38,19,49]","[6,7]",90,69,4.400879436282184
001,22,StackedBar,"[97,49,39,8,76,2,25,3,7,42]","[7,3]",100,38,5.957102041562286
001,23,ComparativeBar,"[27,66,9,86,69,43,5,76,89,97]","[4,8]",85,78,2.8328900141647417
001,24,ComparativeBar,"[81,98,10,16,20,76,27,96,100,0]","[0,6]",26,33,2.8328900141647417
001,25,Bar,"[76,62,64,21,9,60,28,64,82,58]","[6,2]",39,44,2.357552004618084
001,26,ComparativeBar,"[78,82,80,69,71,45,39,32,100,95]","[3,5]",65,65,0
001,27,ComparativeBar,"[26,91,75,0,52,67,52,92,4,49]","[8,7]",5,4,0.16992500144231237
001,28,Bar,"[76,46,51,25,12,30,7,66,58,10]","[5,7]",30,45,3.9188632372745946
001,29,ComparativeBar,"[61,22,72,87,31,75,87,33,77,48]","[6,3]",99,100,0.16992500144231237
